,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,clusters,cluster
4737,49.2640112,-123.0828097,150,30,1,1.0,1,104,1,0,pink
4738,49.26504062,-123.2137796,76,3,4,1.79,4,82,4,0,pink
4739,49.2787118,-123.1107586,600,30,0,0.0,7,365,0,1,purple
4740,49.283343,-123.1354191,299,30,0,0.0,1,11,0,0,pink
4741,49.27398343,-123.1153207,150,30,1,0.34,1,273,1,2,dark purple
4742,49.2792118,-123.1214803,339,1,23,3.94,1,154,23,1,purple
4743,49.2873812,-123.1237839,299,3,13,2.67,1,0,13,0,pink
4744,49.27274,-123.11582,75,30,0,0.0,1,334,0,2,dark purple
4745,49.2749061,-123.1310278,220,30,0,0.0,1,314,0,2,dark purple
4746,49.25878,-123.07993,85,1,1,0.18,5,364,1,2,dark purple
4747,49.22485,-123.15308,258,2,13,2.24,9,176,13,2,dark purple
4748,49.28779,-123.12293,235,1,25,5.14,1,216,25,2,dark purple
4749,49.27952,-123.12554,450,1,27,4.68,1,70,27,1,purple
4750,49.23368582,-123.099884,283,2,0,0.0,4,159,0,2,dark purple
4751,49.2587891,-123.0630183,125,2,23,4.69,1,95,23,0,pink
4752,49.27904189,-123.1080596,355,1,6,1.64,1,12,6,1,purple
4753,49.2705043,-123.0321173,199,1,11,2.05,2,128,11,0,pink
4754,49.24603,-123.14128,806,2,4,1.08,1,232,4,1,purple
4755,49.24589,-123.03721,79,2,36,6.47,1,62,36,0,pink
4756,49.27845,-123.11992,279,2,30,5.26,1,330,30,2,dark purple
4757,49.279448,-123.107321,256,1,4,3.08,40,60,4,0,pink
4758,49.25898,-123.08028,92,1,4,0.75,5,364,4,2,dark purple
4759,49.24427,-123.07148,160,3,16,2.79,1,264,16,2,dark purple
4760,49.24013,-123.0534,200,1,8,2.14,1,126,8,0,pink
4761,49.26689,-123.15787,146,30,1,0.27,112,196,1,2,dark purple
4762,49.26001,-123.14852,157,2,26,5.06,1,214,26,2,dark purple
4763,49.26932,-123.10209,252,3,16,3.04,3,73,16,0,pink
