,listing_id,variable,value
601,14613217,price,222.0
602,14616229,price,149.0
603,14688071,price,425.0
604,14710981,price,131.0
605,14711719,price,140.0
606,14724594,price,160.0
607,14752363,price,597.0
608,14775158,price,60.0
609,14787418,price,252.0
610,14788199,price,150.0
611,14802240,price,150.0
612,14809328,price,200.0
613,14811738,price,310.0
614,14831562,price,69.0
615,14831774,price,49.0
616,14836915,price,350.0
617,14840968,price,120.0
618,14844498,price,189.0
619,14856847,price,91.0
620,14868541,price,128.0
621,14884981,price,47.0
622,14887513,price,120.0
623,14929609,price,100.0
624,14946886,price,89.0
625,14992464,price,220.0
626,15008574,price,115.0
627,15022825,price,206.0
628,15037603,price,130.0
629,15040167,price,150.0
630,15041985,price,125.0
631,15043236,price,150.0
632,15058838,price,123.0
633,15111957,price,69.0
634,15147197,price,115.0
635,15161567,price,99.0
636,15164422,price,95.0
637,15197174,price,110.0
638,15255610,price,65.0
639,15260043,price,127.0
640,15267634,price,300.0
641,15272120,price,850.0
642,15288267,price,170.0
643,15300175,price,99.0
644,15312395,price,206.0
645,15321958,price,90.0
646,15329853,price,240.0
647,15330197,price,499.0
648,15363953,price,80.0
649,15424088,price,144.0
650,15455452,price,400.0
651,15481083,price,230.0
652,15504479,price,259.0
653,15514194,price,92.0
654,15541440,price,130.0
655,15542567,price,400.0
656,15563093,price,99.0
657,15582940,price,150.0
658,15624482,price,40.0
659,15642866,price,489.0
660,15646460,price,600.0
661,15648459,price,180.0
662,15706251,price,350.0
663,15707911,price,90.0
664,15803843,price,360.0
665,15951675,price,252.0
666,15988395,price,69.0
667,16026015,price,198.0
668,16083491,price,172.0
669,16088312,price,232.0
670,16146450,price,135.0
671,16177189,price,219.0
672,16218564,price,220.0
673,16232948,price,350.0
674,16233697,price,86.0
675,16289980,price,80.0
676,16302576,price,110.0
677,16315060,price,225.0
678,16339748,price,495.0
679,16458904,price,231.0
680,16491614,price,185.0
681,16491812,price,95.0
682,16522048,price,132.0
683,16616603,price,76.0
684,16621051,price,280.0
685,16673770,price,100.0
686,16719878,price,700.0
687,16720749,price,151.0
688,16752966,price,549.0
689,16817056,price,158.0
690,16826920,price,95.0
691,16929381,price,175.0
692,16934327,price,309.0
693,16947736,price,80.0
694,16960121,price,650.0
695,16973311,price,346.0
696,16987578,price,109.0
697,17042292,price,115.0
698,17072359,price,280.0
699,17075234,price,261.0
700,17076303,price,586.0
701,17099102,price,132.0
702,17195893,price,338.0
